,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
bug_issue_label_keyword_bug,0,[1],0.0009596928982725527,0.0009596928982725527,0.0,1,0,1.0
bug_issue_label_keyword_fixed,1,[],0.0,0.0,0.0,0,0,0.0
bug_issue_label_keyword_fix,2,[],0.0,0.0,0.0,0,0,0.0
bug_issue_label_keyword_error,3,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_bad,4,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_broken,5,[1],0.0028790786948176585,0.0028790786948176585,0.0028790786948176585,2,1,0.6666666666666666
bug_message_keyword_bug,6,[1],0.02783109404990403,0.02399232245681382,0.015355086372360844,21,8,0.7241379310344828
bug_message_keyword_close,7,[1],0.014395393474088292,0.013435700575815739,0.011516314779270634,6,9,0.4
bug_message_keyword_concurr,8,[1],0.0009596928982725527,0.0009596928982725527,0.0009596928982725527,0,1,0.0
bug_message_keyword_correct,9,[1],0.011516314779270634,0.0067178502879078695,0.0028790786948176585,6,6,0.5
bug_message_keyword_corrupt,10,[1],0.0009596928982725527,0.0009596928982725527,0.0009596928982725527,1,0,1.0
bug_message_keyword_crash,11,[1],0.0028790786948176585,0.0028790786948176585,0.0009596928982725527,3,0,1.0
bug_message_keyword_deadlock,12,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_defect,13,[1],0.0009596928982725527,0.0009596928982725527,0.0009596928982725527,0,1,0.0
bug_message_keyword_disabl,14,[1],0.009596928982725527,0.0067178502879078695,0.0067178502879078695,0,10,0.0
bug_message_keyword_endless,15,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_ensur,16,[1],0.0067178502879078695,0.003838771593090211,0.0028790786948176585,3,4,0.4285714285714286
bug_message_keyword_error,17,[1],0.029750479846449136,0.025911708253358926,0.015355086372360844,17,14,0.5483870967741935
bug_message_keyword_except,18,[1],0.003838771593090211,0.003838771593090211,0.0019193857965451055,1,3,0.25
bug_message_keyword_fail,19,[1],0.009596928982725527,0.008637236084452975,0.0067178502879078695,7,3,0.7
bug_message_keyword_bugfix,20,[1],0.1765834932821497,0.11324376199616124,0.08253358925143954,149,35,0.8097826086956521
