,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
all_files_test_add,0,[0],0.00683371298405467,0.00683371298405467,0.002277904328018223,5,1,0.8333333333333333
all_files_test_fix,1,[0],0.002277904328018223,0.002277904328018223,0.0011389521640091116,1,1,0.5
buggless_if_many_lines_changed,2,[0],0.11389521640091116,0.1082004555808656,0.02847380410022779,87,13,0.87
buggless_one_file,3,[0],0.4134396355353075,0.4020501138952164,0.244874715261959,233,130,0.6418732782369145
bugless_if_at_least_2_removed_files,4,[0],0.03530751708428246,0.03530751708428246,0.00683371298405467,28,3,0.9032258064516129
bugless_if_at_least_5_added_files,5,[0],0.03530751708428246,0.03530751708428246,0.0056947608200455585,27,4,0.8709677419354839
bugless_if_many_files_changes,6,[0],0.07403189066059225,0.07061503416856492,0.01366742596810934,60,5,0.9230769230769231
bugless_if_not_code_files,7,[0],0.5933940774487472,0.5728929384965832,0.39863325740318906,287,234,0.5508637236084453
no_files_have_modified_status,8,[0],0.05466970387243736,0.05466970387243736,0.0011389521640091116,41,7,0.8541666666666667
refactoring_if_at_least_2_renamed,9,[0],0.02164009111617312,0.02050113895216401,0.003416856492027335,18,1,0.9473684210526316
fine_grained_changes_transformer_70,10,"[0, 1]",0.08769931662870159,0.08769931662870159,0.06264236902050115,47,30,0.6103896103896104
fine_grained_changes_transformer_80,11,"[0, 1]",0.16856492027334852,0.15831435079726652,0.1082004555808656,109,39,0.7364864864864865
fine_grained_changes_transformer_90,12,"[0, 1]",0.2608200455580866,0.25626423690205014,0.1366742596810934,174,55,0.759825327510917
bug_issue_body_keyword_bad,13,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_broken,14,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_bug,15,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_close,16,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_correct,17,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_corrupt,18,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_crash,19,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_defect,20,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_disabl,21,[],0.0,0.0,0.0,0,0,0.0
