,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
all_files_test_add,0,[0],0.005758157389635317,0.005758157389635317,0.0019193857965451055,4,2,0.6666666666666666
all_files_test_fix,1,[0],0.009596928982725527,0.009596928982725527,0.0009596928982725527,9,1,0.9
buggless_if_many_lines_changed,2,[0],0.08349328214971209,0.07773512476007678,0.02111324376199616,75,12,0.8620689655172413
buggless_one_file,3,[0],0.43857965451055664,0.3714011516314779,0.12092130518234165,351,106,0.7680525164113785
bugless_if_at_least_2_removed_files,4,[0],0.016314779270633396,0.016314779270633396,0.003838771593090211,15,2,0.8823529411764706
bugless_if_at_least_5_added_files,5,[0],0.01055662188099808,0.01055662188099808,0.003838771593090211,10,1,0.9090909090909092
bugless_if_many_files_changes,6,[0],0.03262955854126679,0.03262955854126679,0.009596928982725527,29,5,0.8529411764705883
bugless_if_not_code_files,7,[0],0.19961612284069097,0.1871401151631478,0.03934740882917467,181,27,0.8701923076923077
no_files_have_modified_status,8,[0],0.036468330134357005,0.0345489443378119,0.003838771593090211,36,2,0.9473684210526316
refactoring_if_at_least_2_renamed,9,[0],0.007677543186180422,0.007677543186180422,0.0009596928982725527,8,0,1.0
fine_grained_changes_transformer_70,10,[0],0.0009596928982725527,0.0009596928982725527,0.0009596928982725527,0,1,0.0
fine_grained_changes_transformer_80,11,[],0.0,0.0,0.0,0,0,0.0
fine_grained_changes_transformer_90,12,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_bad,13,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_broken,14,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_bug,15,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_close,16,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_concurr,17,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_correct,18,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_corrupt,19,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_crash,20,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_deadlock,21,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_defect,22,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_disabl,23,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_endless,24,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_ensur,25,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_error,26,[1],0.0009596928982725527,0.0009596928982725527,0.0009596928982725527,1,0,1.0
bug_issue_body_keyword_except,27,[1],0.0009596928982725527,0.0009596928982725527,0.0009596928982725527,1,0,1.0
bug_issue_body_keyword_fail,28,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_bugfix,29,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_garbag,30,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_handl,31,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_incomplet,32,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_inconsist,33,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_incorrect,34,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_infinit,35,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_invalid,36,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_issue,37,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_leak,38,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_loop,39,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_minor,40,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_mistak,41,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_npe,42,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_not|work,43,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_not|return,44,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_of|bound,45,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_patch,46,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_prevent,47,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_problem,48,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_properli,49,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_race|condit,50,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_repair,51,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_resolv,52,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_threw,53,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_timeout,54,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_unabl,55,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_unclos,56,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_unexpect,57,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_unknown,58,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_unsynchron,59,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_wrong,60,[],0.0,0.0,0.0,0,0,0.0
bug_issue_label_keyword_bug,61,[1],0.0009596928982725527,0.0009596928982725527,0.0009596928982725527,1,0,1.0
bug_issue_label_keyword_fixed,62,[],0.0,0.0,0.0,0,0,0.0
bug_issue_label_keyword_fix,63,[],0.0,0.0,0.0,0,0,0.0
bug_issue_label_keyword_error,64,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_bad,65,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_broken,66,[1],0.0028790786948176585,0.0028790786948176585,0.0028790786948176585,2,1,0.6666666666666666
bug_message_keyword_bug,67,[1],0.02783109404990403,0.02495201535508637,0.022072936660268713,21,8,0.7241379310344828
bug_message_keyword_close,68,[1],0.014395393474088292,0.013435700575815739,0.013435700575815739,6,9,0.4
bug_message_keyword_concurr,69,[1],0.0009596928982725527,0.0009596928982725527,0.0009596928982725527,0,1,0.0
bug_message_keyword_correct,70,[1],0.011516314779270634,0.009596928982725527,0.008637236084452975,6,6,0.5
bug_message_keyword_corrupt,71,[1],0.0009596928982725527,0.0009596928982725527,0.0009596928982725527,1,0,1.0
bug_message_keyword_crash,72,[1],0.0028790786948176585,0.0028790786948176585,0.0028790786948176585,3,0,1.0
bug_message_keyword_deadlock,73,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_defect,74,[1],0.0009596928982725527,0.0009596928982725527,0.0009596928982725527,0,1,0.0
bug_message_keyword_disabl,75,[1],0.009596928982725527,0.007677543186180422,0.007677543186180422,0,10,0.0
bug_message_keyword_endless,76,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_ensur,77,[1],0.0067178502879078695,0.005758157389635317,0.005758157389635317,3,4,0.4285714285714286
bug_message_keyword_error,78,[1],0.029750479846449136,0.028790786948176585,0.023032629558541268,17,14,0.5483870967741935
bug_message_keyword_except,79,[1],0.003838771593090211,0.003838771593090211,0.0028790786948176585,1,3,0.25
bug_message_keyword_fail,80,[1],0.009596928982725527,0.009596928982725527,0.007677543186180422,7,3,0.7
bug_message_keyword_bugfix,81,[1],0.1765834932821497,0.15067178502879078,0.1362763915547025,149,35,0.8097826086956521
bug_message_keyword_garbag,82,[1],0.0019193857965451055,0.0019193857965451055,0.0009596928982725527,2,0,1.0
bug_message_keyword_handl,83,[1],0.013435700575815739,0.011516314779270634,0.01055662188099808,6,8,0.4285714285714286
bug_message_keyword_incomplet,84,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_inconsist,85,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_incorrect,86,[1],0.003838771593090211,0.003838771593090211,0.0028790786948176585,2,2,0.5
bug_message_keyword_infinit,87,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_invalid,88,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_issue,89,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_leak,90,[1],0.0009596928982725527,0.0009596928982725527,0.0009596928982725527,1,0,1.0
bug_message_keyword_loop,91,[1],0.0019193857965451055,0.0019193857965451055,0.0019193857965451055,0,2,0.0
bug_message_keyword_minor,92,[1],0.008637236084452975,0.008637236084452975,0.0067178502879078695,6,3,0.6666666666666666
bug_message_keyword_mistak,93,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_npe,94,[1],0.0028790786948176585,0.0028790786948176585,0.0028790786948176585,2,1,0.6666666666666666
bug_message_keyword_not|work,95,[1],0.0028790786948176585,0.0028790786948176585,0.0009596928982725527,3,0,1.0
bug_message_keyword_not|return,96,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_of|bound,97,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_patch,98,[1],0.014395393474088292,0.014395393474088292,0.013435700575815739,3,12,0.2
bug_message_keyword_prevent,99,[1],0.005758157389635317,0.0047984644913627635,0.0047984644913627635,4,2,0.6666666666666666
bug_message_keyword_problem,100,[1],0.007677543186180422,0.007677543186180422,0.007677543186180422,6,2,0.75
bug_message_keyword_properli,101,[1],0.0009596928982725527,0.0009596928982725527,0.0009596928982725527,1,0,1.0
bug_message_keyword_race|condit,102,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_repair,103,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_resolv,104,[1],0.0028790786948176585,0.0028790786948176585,0.0028790786948176585,1,2,0.33333333333333337
bug_message_keyword_threw,105,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_timeout,106,[1],0.0009596928982725527,0.0009596928982725527,0.0009596928982725527,0,1,0.0
bug_message_keyword_unabl,107,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_unclos,108,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_unexpect,109,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_unknown,110,[1],0.0009596928982725527,0.0009596928982725527,0.0009596928982725527,0,1,0.0
bug_message_keyword_unsynchron,111,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_wrong,112,[1],0.007677543186180422,0.0067178502879078695,0.005758157389635317,5,3,0.625
bugless_message_keyword_abil,113,[0],0.0009596928982725527,0.0009596928982725527,0.0,1,0,1.0
bugless_message_keyword_ad,114,[0],0.06429942418426103,0.0508637236084453,0.016314779270633396,56,11,0.835820895522388
bugless_message_keyword_add,115,[0],0.11516314779270634,0.0873320537428023,0.02399232245681382,107,13,0.8916666666666666
bugless_message_keyword_addit,116,[0],0.008637236084452975,0.0067178502879078695,0.0047984644913627635,6,3,0.6666666666666666
bugless_message_keyword_allow,117,[0],0.014395393474088292,0.011516314779270634,0.005758157389635317,14,1,0.9333333333333333
bugless_message_keyword_analysi,118,[0],0.0009596928982725527,0.0009596928982725527,0.0009596928982725527,1,0,1.0
bugless_message_keyword_avoid,119,[0],0.005758157389635317,0.005758157389635317,0.0019193857965451055,3,3,0.5
bugless_message_keyword_baselin,120,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_beautification,121,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_benchmark,122,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_better,123,[0],0.007677543186180422,0.0067178502879078695,0.003838771593090211,6,2,0.75
bugless_message_keyword_bump,124,[0],0.02111324376199616,0.016314779270633396,0.0009596928982725527,21,1,0.9545454545454546
bugless_message_keyword_chang|log,125,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_clean,126,[0],0.022072936660268713,0.019193857965451054,0.0047984644913627635,21,2,0.9130434782608696
bugless_message_keyword_comment,127,[0],0.014395393474088292,0.012476007677543186,0.0028790786948176585,14,1,0.9333333333333333
bugless_message_keyword_complet,128,[0],0.0067178502879078695,0.005758157389635317,0.0028790786948176585,6,1,0.8571428571428572
bugless_message_keyword_configur|chang,129,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_consolid,130,[0],0.0009596928982725527,0.0009596928982725527,0.0,1,0,1.0
bugless_message_keyword_convert,131,[0],0.005758157389635317,0.005758157389635317,0.0009596928982725527,6,0,1.0
bugless_message_keyword_coverag,132,[0],0.0009596928982725527,0.0009596928982725527,0.0,1,0,1.0
bugless_message_keyword_create,133,[],0.0,0.0,0.0,0,0,0.0
bugless_message_keyword_deprec,134,[0],0.0047984644913627635,0.0047984644913627635,0.0009596928982725527,5,0,1.0
bugless_message_keyword_develop,135,[0],0.008637236084452975,0.003838771593090211,0.0,9,0,1.0
bugless_message_keyword_doc,136,[0],0.030710172744721688,0.02399232245681382,0.005758157389635317,30,2,0.9375
bugless_message_keyword_drop,137,[0],0.0028790786948176585,0.0028790786948176585,0.0019193857965451055,3,0,1.0
