,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
bug_issue_body_keyword_bad,0,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_broken,1,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_bug,2,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_close,3,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_correct,4,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_corrupt,5,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_crash,6,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_defect,7,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_disabl,8,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_endless,9,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_ensur,10,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_error,11,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_except,12,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_fail,13,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_bugfix,14,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_garbag,15,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_handl,16,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_incomplet,17,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_inconsist,18,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_incorrect,19,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_infinit,20,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_invalid,21,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_issue,22,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_leak,23,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_loop,24,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_minor,25,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_mistak,26,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_npe,27,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_not|work,28,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_not|return,29,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_of|bound,30,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_patch,31,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_prevent,32,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_problem,33,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_properli,34,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_repair,35,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_resolv,36,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_threw,37,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_timeout,38,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_unabl,39,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_unclos,40,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_unexpect,41,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_unknown,42,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_unsynchron,43,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_wrong,44,[],0.0,0.0,0.0,0,0,0.0
bug_issue_label_keyword_bug,45,[],0.0,0.0,0.0,0,0,0.0
bug_issue_label_keyword_fixed,46,[],0.0,0.0,0.0,0,0,0.0
bug_issue_label_keyword_fix,47,[],0.0,0.0,0.0,0,0,0.0
bug_issue_label_keyword_error,48,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_bad,49,[1],0.00388651379712398,0.003303536727555383,0.001165954139137194,13,7,0.65
bug_message_keyword_broken,50,[1],0.004275165176836378,0.003497862417411582,0.002137582588418189,14,8,0.6363636363636364
bug_message_keyword_bug,51,[1],0.1352506801399145,0.1329187718616401,0.06820831713952584,380,316,0.5459770114942528
bug_message_keyword_close,52,[1],0.016906335017489314,0.01146521570151574,0.0058297706956859695,58,29,0.6666666666666666
bug_message_keyword_correct,53,[1],0.01729498639720171,0.014380101049358725,0.00777302759424796,57,32,0.6404494382022472
bug_message_keyword_corrupt,54,[1],0.004858142246404975,0.00388651379712398,0.00194325689856199,20,5,0.8
bug_message_keyword_crash,55,[1],0.001165954139137194,0.000777302759424796,0.000582977069568597,5,1,0.8333333333333333
bug_message_keyword_defect,56,[1],0.000194325689856199,0.000194325689856199,0.0,1,0,1.0
bug_message_keyword_disabl,57,[1],0.005635445005829771,0.004469490866692577,0.003692188107267781,12,17,0.41379310344827586
bug_message_keyword_endless,58,[1],0.000971628449280995,0.000971628449280995,0.000194325689856199,5,0,1.0
bug_message_keyword_ensur,59,[1],0.003109211037699184,0.002331908278274388,0.000971628449280995,11,5,0.6875
bug_message_keyword_error,60,[1],0.017100660707345512,0.014963078118927322,0.010493587252234746,42,46,0.4772727272727273
bug_message_keyword_except,61,[1],0.028371550719005052,0.02487368830159347,0.013214146910221531,80,66,0.547945205479452
bug_message_keyword_fail,62,[1],0.04391760590750097,0.027594247959580258,0.018460940536338902,131,95,0.5796460176991151
bug_message_keyword_bugfix,63,[1],0.22172561212592304,0.18227749708511465,0.0965798678585309,664,477,0.581945661700263
bug_message_keyword_garbag,64,[1],0.003303536727555383,0.0027205596579867857,0.001554605518849592,9,8,0.5294117647058824
bug_message_keyword_handl,65,[1],0.020792848814613293,0.018072289156626505,0.010687912942090944,51,56,0.4766355140186916
bug_message_keyword_incomplet,66,[1],0.0013602798289933929,0.0013602798289933929,0.000777302759424796,4,3,0.5714285714285714
bug_message_keyword_inconsist,67,[1],0.004663816556548776,0.003497862417411582,0.00194325689856199,18,6,0.75
bug_message_keyword_incorrect,68,[1],0.009133307423241352,0.005635445005829771,0.0025262339681305867,32,15,0.6808510638297872
bug_message_keyword_infinit,69,[1],0.0025262339681305867,0.002331908278274388,0.000582977069568597,10,3,0.7692307692307692
bug_message_keyword_invalid,70,[1],0.006607073455110766,0.005246793626117373,0.0029148853478429848,26,8,0.7647058823529411
bug_message_keyword_issue,71,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_leak,72,[1],0.00388651379712398,0.0027205596579867857,0.0013602798289933929,15,5,0.75
bug_message_keyword_loop,73,[1],0.006218422075398368,0.005635445005829771,0.00194325689856199,23,9,0.71875
bug_message_keyword_minor,74,[1],0.007384376214535562,0.007384376214535562,0.007190050524679362,14,24,0.368421052631579
bug_message_keyword_mistak,75,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_npe,76,[1],0.013019821220365333,0.010493587252234746,0.003109211037699184,62,5,0.9253731343283582
bug_message_keyword_not|work,77,[1],0.0058297706956859695,0.003692188107267781,0.002331908278274388,23,7,0.7666666666666666
bug_message_keyword_not|return,78,[1],0.00194325689856199,0.001165954139137194,0.000388651379712398,9,1,0.9
bug_message_keyword_of|bound,79,[1],0.000194325689856199,0.000194325689856199,0.0,1,0,1.0
bug_message_keyword_patch,80,[1],0.07112320248736884,0.05888068402642829,0.04255732607850758,129,237,0.3524590163934426
bug_message_keyword_prevent,81,[1],0.009521958802953751,0.006995724834823164,0.002137582588418189,31,18,0.6326530612244898
bug_message_keyword_problem,82,[1],0.012048192771084338,0.010299261562378547,0.006218422075398368,41,21,0.6612903225806451
bug_message_keyword_properli,83,[1],0.008356004663816556,0.006218422075398368,0.00388651379712398,28,15,0.6511627906976745
bug_message_keyword_repair,84,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_resolv,85,[1],0.006995724834823164,0.006412747765254567,0.004080839486980179,13,23,0.3611111111111111
bug_message_keyword_threw,86,[1],0.026039642440730666,0.018655266226195105,0.008356004663816556,95,39,0.708955223880597
bug_message_keyword_timeout,87,[1],0.003109211037699184,0.0027205596579867857,0.001554605518849592,8,8,0.5
bug_message_keyword_unabl,88,[1],0.000971628449280995,0.000194325689856199,0.000194325689856199,5,0,1.0
bug_message_keyword_unclos,89,[1],0.000971628449280995,0.000777302759424796,0.000388651379712398,2,3,0.4
bug_message_keyword_unexpect,90,[1],0.001554605518849592,0.0013602798289933929,0.000777302759424796,5,3,0.625
bug_message_keyword_unknown,91,[1],0.000777302759424796,0.000582977069568597,0.000388651379712398,0,4,0.0
bug_message_keyword_unsynchron,92,[1],0.000582977069568597,0.0,0.0,3,0,1.0
bug_message_keyword_wrong,93,[1],0.009521958802953751,0.006412747765254567,0.00388651379712398,39,10,0.7959183673469388
