,j,Polarity,Coverage,Overlaps,Conflicts
all_files_test_add,0,[0],0.00395,0.00395,0.001
all_files_test_fix,1,[0],0.00275,0.00275,0.00115
buggless_if_many_lines_changed,2,[0],0.0936,0.0874,0.0302
buggless_one_file,3,[0],0.4422,0.37625,0.19625
bugless_if_at_least_2_removed_files,4,[0],0.0196,0.0191,0.00435
bugless_if_at_least_5_added_files,5,[0],0.0338,0.03275,0.0127
bugless_if_many_files_changes,6,[0],0.06265,0.0595,0.021
bugless_if_not_code_files,7,[0],0.0954,0.0932,0.0248
no_files_have_modified_status,8,[0],0.02915,0.02825,0.0039
refactoring_if_at_least_2_renamed,9,[0],0.01355,0.01325,0.0034
fine_grained_changes_transformer_70,10,[],0.0,0.0,0.0
fine_grained_changes_transformer_80,11,[],0.0,0.0,0.0
fine_grained_changes_transformer_90,12,[],0.0,0.0,0.0
bug_message_keyword_bad,13,[1],0.0036,0.0036,0.0034
bug_message_keyword_broken,14,[1],0.0083,0.00815,0.00755
bug_message_keyword_bug,15,[1],0.01845,0.01825,0.0153
bug_message_keyword_close,16,[1],0.04375,0.0422,0.03875
bug_message_keyword_concurr,17,[1],0.0005,0.0005,0.0004
bug_message_keyword_correct,18,[1],0.0198,0.0184,0.0168
bug_message_keyword_corrupt,19,[1],0.0011,0.00105,0.0009
bug_message_keyword_crash,20,[1],0.0058,0.00575,0.0052
bug_message_keyword_deadlock,21,[1],0.00155,0.00155,0.0013
bug_message_keyword_defect,22,[1],0.0001,0.0001,5e-05
bug_message_keyword_disabl,23,[1],0.01395,0.01355,0.01295
bug_message_keyword_endless,24,[1],0.00015,0.00015,0.00015
bug_message_keyword_ensur,25,[1],0.0053,0.0052,0.0047
bug_message_keyword_error,26,[1],0.0349,0.0332,0.0291
bug_message_keyword_except,27,[1],0.009,0.0086,0.0074
bug_message_keyword_fail,28,[1],0.0206,0.02025,0.01875
bug_message_keyword_bugfix,29,[1],0.25745,0.22605,0.20725
bug_message_keyword_garbag,30,[1],0.0004,0.0003,0.0003
bug_message_keyword_handl,31,[1],0.02065,0.01875,0.01705
bug_message_keyword_incomplet,32,[1],0.0013,0.00115,0.00095
bug_message_keyword_inconsist,33,[1],0.00085,0.00085,0.00065
bug_message_keyword_incorrect,34,[1],0.00495,0.00495,0.0042
bug_message_keyword_infinit,35,[1],0.0007,0.0007,0.00045
