,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
fine_grained_changes_transformer_90,0,"[0, 1]",0.1761546723952739,0.1761546723952739,0.09774436090225563,120,44,0.7317073170731707
buggless_if_one_file_markdown_ext,1,[],0.0,0.0,0.0,0,0,0.0
buggless_if_doc_extensions,2,[],0.0,0.0,0.0,0,0,0.0
fine_grained_changes_transformer_80,3,"[0, 1]",0.12459720730397422,0.12459720730397422,0.07841031149301826,80,36,0.6896551724137931
fine_grained_changes_transformer_70,4,"[0, 1]",0.10741138560687433,0.10741138560687433,0.07841031149301826,66,34,0.66
all_files_test_add,5,[0],0.0010741138560687433,0.0010741138560687433,0.0010741138560687433,1,0,1.0
all_files_test_fix,6,[0],0.0010741138560687433,0.0010741138560687433,0.0010741138560687433,1,0,1.0
buggless_if_many_lines_changed,7,[0],0.12996777658431793,0.12996777658431793,0.04189044038668099,92,29,0.7603305785123967
buggless_one_file,8,[0],0.3276047261009667,0.3276047261009667,0.2921589688506982,151,154,0.49508196721311476
bugless_if_at_least_2_removed_files,9,[0],0.01288936627282492,0.01288936627282492,0.00322234156820623,9,3,0.75
bugless_if_at_least_5_added_files,10,[0],0.036519871106337275,0.036519871106337275,0.011815252416756176,26,8,0.7647058823529411
bugless_if_many_files_changes,11,[0],0.07303974221267455,0.07303974221267455,0.022556390977443608,55,13,0.8088235294117647
bugless_if_not_code_files,12,[],0.0,0.0,0.0,0,0,0.0
no_files_have_modified_status,13,[],0.0,0.0,0.0,0,0,0.0
refactoring_if_at_least_2_renamed,14,[0],0.017185821697099892,0.017185821697099892,0.0021482277121374865,16,0,1.0
small_change,15,[1],0.44038668098818473,0.4221267454350161,0.3727175080558539,219,191,0.5341463414634147
large_change,16,[0],0.5596133190118152,0.5252416756176155,0.21911922663802363,348,173,0.6679462571976967
bug_message_keyword_bad,17,[1],0.004296455424274973,0.004296455424274973,0.004296455424274973,3,1,0.75
bug_message_keyword_broken,18,[1],0.007518796992481203,0.007518796992481203,0.007518796992481203,6,1,0.8571428571428572
bug_message_keyword_bug,19,[1],0.03329752953813104,0.03329752953813104,0.027926960257787327,30,1,0.967741935483871
