,j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
bug_issue_body_keyword_bad,0,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_broken,1,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_bug,2,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_close,3,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_concurr,4,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_correct,5,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_corrupt,6,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_crash,7,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_deadlock,8,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_defect,9,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_disabl,10,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_endless,11,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_ensur,12,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_error,13,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_except,14,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_fail,15,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_bugfix,16,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_garbag,17,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_handl,18,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_incomplet,19,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_inconsist,20,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_incorrect,21,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_infinit,22,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_invalid,23,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_issue,24,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_leak,25,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_loop,26,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_minor,27,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_mistak,28,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_npe,29,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_not|work,30,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_not|return,31,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_of|bound,32,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_patch,33,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_prevent,34,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_problem,35,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_properli,36,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_race|condit,37,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_repair,38,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_resolv,39,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_threw,40,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_timeout,41,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_unabl,42,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_unclos,43,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_unexpect,44,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_unknown,45,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_unsynchron,46,[],0.0,0.0,0.0,0,0,0.0
bug_issue_body_keyword_wrong,47,[],0.0,0.0,0.0,0,0,0.0
bug_issue_label_keyword_bug,48,[],0.0,0.0,0.0,0,0,0.0
bug_issue_label_keyword_fixed,49,[],0.0,0.0,0.0,0,0,0.0
bug_issue_label_keyword_fix,50,[],0.0,0.0,0.0,0,0,0.0
bug_issue_label_keyword_error,51,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_bad,52,[1],0.004228329809725159,0.004228329809725159,0.0010570824524312897,3,1,0.75
bug_message_keyword_broken,53,[1],0.007399577167019027,0.006342494714587738,0.005285412262156448,6,1,0.8571428571428572
bug_message_keyword_bug,54,[1],0.03276955602536998,0.03171247357293869,0.019027484143763214,30,1,0.967741935483871
bug_message_keyword_close,55,[1],0.048625792811839326,0.04334038054968287,0.03382663847780127,20,26,0.43478260869565216
bug_message_keyword_concurr,56,[1],0.006342494714587738,0.006342494714587738,0.005285412262156448,3,3,0.5
bug_message_keyword_correct,57,[1],0.010570824524312896,0.008456659619450317,0.005285412262156448,7,3,0.7
bug_message_keyword_corrupt,58,[1],0.003171247357293869,0.003171247357293869,0.0010570824524312897,2,1,0.6666666666666666
bug_message_keyword_crash,59,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_deadlock,60,[1],0.0021141649048625794,0.0021141649048625794,0.0010570824524312897,2,0,1.0
bug_message_keyword_defect,61,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_disabl,62,[1],0.005285412262156448,0.005285412262156448,0.005285412262156448,2,3,0.4
bug_message_keyword_endless,63,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_ensur,64,[1],0.005285412262156448,0.005285412262156448,0.003171247357293869,5,0,1.0
bug_message_keyword_error,65,[1],0.02959830866807611,0.026427061310782242,0.014799154334038054,17,11,0.6071428571428571
bug_message_keyword_except,66,[1],0.023255813953488372,0.021141649048625793,0.011627906976744186,14,8,0.6363636363636364
bug_message_keyword_fail,67,[1],0.035940803382663845,0.02854122621564482,0.021141649048625793,28,6,0.8235294117647058
bug_message_keyword_bugfix,68,[1],0.273784355179704,0.17653276955602537,0.10887949260042283,234,25,0.9034749034749034
bug_message_keyword_garbag,69,[1],0.0021141649048625794,0.0021141649048625794,0.0021141649048625794,1,1,0.5
bug_message_keyword_handl,70,[1],0.024312896405919663,0.023255813953488372,0.017970401691331923,12,11,0.5217391304347826
bug_message_keyword_incomplet,71,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_inconsist,72,[1],0.0010570824524312897,0.0010570824524312897,0.0010570824524312897,1,0,1.0
bug_message_keyword_incorrect,73,[1],0.0010570824524312897,0.0010570824524312897,0.0,1,0,1.0
bug_message_keyword_infinit,74,[1],0.0021141649048625794,0.0021141649048625794,0.0010570824524312897,2,0,1.0
bug_message_keyword_invalid,75,[1],0.0021141649048625794,0.0021141649048625794,0.0,1,1,0.5
bug_message_keyword_issue,76,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_leak,77,[1],0.003171247357293869,0.003171247357293869,0.0010570824524312897,3,0,1.0
bug_message_keyword_loop,78,[1],0.008456659619450317,0.006342494714587738,0.004228329809725159,6,2,0.75
bug_message_keyword_minor,79,[1],0.0200845665961945,0.019027484143763214,0.014799154334038054,4,15,0.21052631578947367
bug_message_keyword_mistak,80,[1],0.0010570824524312897,0.0010570824524312897,0.0010570824524312897,1,0,1.0
bug_message_keyword_npe,81,[1],0.016913319238900635,0.012684989429175475,0.004228329809725159,14,2,0.875
bug_message_keyword_not|work,82,[1],0.0021141649048625794,0.0021141649048625794,0.0021141649048625794,1,1,0.5
bug_message_keyword_not|return,83,[1],0.0010570824524312897,0.0,0.0,1,0,1.0
bug_message_keyword_of|bound,84,[],0.0,0.0,0.0,0,0,0.0
bug_message_keyword_patch,85,[1],0.013742071881606765,0.009513742071881607,0.008456659619450317,6,7,0.46153846153846156
bug_message_keyword_prevent,86,[1],0.011627906976744186,0.008456659619450317,0.007399577167019027,6,5,0.5454545454545454
bug_message_keyword_problem,87,[1],0.014799154334038054,0.013742071881606765,0.003171247357293869,11,3,0.7857142857142857
bug_message_keyword_properli,88,[1],0.010570824524312896,0.009513742071881607,0.0021141649048625794,9,1,0.9
bug_message_keyword_race|condit,89,[1],0.0010570824524312897,0.0010570824524312897,0.0,1,0,1.0
bug_message_keyword_repair,90,[1],0.0010570824524312897,0.0010570824524312897,0.0010570824524312897,0,1,0.0
bug_message_keyword_resolv,91,[1],0.009513742071881607,0.007399577167019027,0.003171247357293869,6,3,0.6666666666666666
bug_message_keyword_threw,92,[1],0.007399577167019027,0.006342494714587738,0.003171247357293869,6,1,0.8571428571428572
bug_message_keyword_timeout,93,[1],0.010570824524312896,0.009513742071881607,0.004228329809725159,7,3,0.7
bug_message_keyword_unabl,94,[1],0.0010570824524312897,0.0010570824524312897,0.0,1,0,1.0
bug_message_keyword_unclos,95,[],0.0,0.0,0.0,0,0,0.0
